Squad,sezoni,PC1,PC2,PC3
Sevilla,2021-2022,2.146824408417698,1.649629409944921,1.1356848278437541
Real Betis,2021-2022,2.1218393119544676,0.024582080718904657,1.6889623561359588
Real Sociedad,2021-2022,1.0296843893886163,0.8890987231191808,-1.0836165135952491
Villarreal,2021-2022,2.0616829036742064,0.5048920708431814,0.8607780086441992
Athletic Club,2021-2022,0.5698655293935051,1.1088242126200285,-0.14060297670087502
Valencia,2021-2022,-1.4003081672477966,0.5897038844949676,-2.380963985571264
Osasuna,2021-2022,-1.2061975915889371,0.36023285955751183,0.7312106279006847
Celta Vigo,2021-2022,-0.16189773680700154,0.5283889392586509,1.2801995741087604
Rayo Vallecano,2021-2022,-0.7989515902866832,0.24564067818053834,0.4858091647524916
Elche,2021-2022,-1.8462006198017369,1.4729638962899656,1.5908928103727569
Espanyol,2021-2022,-1.5201312862338285,0.45675178286449136,0.5709940165931118
Getafe,2021-2022,-2.038299182924019,1.3253687256377802,-0.6254031825401231
Mallorca,2021-2022,-2.659469059073999,-0.9785977966897681,0.8625877201179343
Cadiz,2021-2022,-1.9948001278517782,1.6244072754219085,1.1017189046358438
Granada,2021-2022,-1.8135810644030947,0.23202768498461288,0.8753027865323846
Levante,2021-2022,-2.322072431594949,-1.585469410364663,0.9499011323775796
Alaves,2021-2022,-3.411557055376892,-0.2875724086206808,0.9367195476335631
Barcelona,2022-2023,5.570299053701603,1.215497755891338,-1.132911667388339
Real Madrid,2022-2023,5.0812159204844765,-0.5301104066632606,0.5131039716503264
Atletico Madrid,2022-2023,3.669229552911028,0.9290430839888616,1.0890085664253149
Real Sociedad,2022-2023,2.0391860262173,0.5719202650647588,-1.0354619696909217
Villarreal,2022-2023,2.371628629477756,0.29649320213439195,1.175559383521764
Real Betis,2022-2023,0.6157085088351341,1.2315412656855143,1.3261454207043333
Osasuna,2022-2023,-0.3007193867391798,0.926321632297169,0.4064612271628191
Athletic Club,2022-2023,0.8022284093573948,-0.6405159288897124,0.6433311975025483
Mallorca,2022-2023,-1.9550301532060785,2.282058696226846,0.11828271893545525
Girona,2022-2023,0.06130769181924137,-0.639751354825943,-0.8199546886410595
Rayo Vallecano,2022-2023,-0.39062073180996204,-0.9409628387562093,1.0455627607582196
Sevilla,2022-2023,-0.46252370013803706,-0.29948425377305515,1.3342067602570395
Celta Vigo,2022-2023,-0.6361329707809567,-1.2246604253946987,0.05187998816809227
Cadiz,2022-2023,-2.3257569708131514,2.0548519811535275,1.4851722856553553
Getafe,2022-2023,-2.203105949868442,2.0246474576729465,-0.11283918936936423
Valencia,2022-2023,-0.31372373988442415,-0.3431718854641728,-2.298033509607976
Almeria,2022-2023,-1.6125927704954501,-0.7745515720623284,-0.4499810818736022
Valladolid,2022-2023,-1.98646885110568,-0.3305395168155097,0.5078491253595951
Espanyol,2022-2023,-2.0923236268213072,-1.173129478319852,0.6197897581886532
Elche,2022-2023,-3.051414466071251,-0.017239078269078195,1.2181911437669448
Real Madrid,2023-2024,6.491343837826203,0.12664748293864514,0.3307567235479701
Barcelona,2023-2024,4.760353041215705,-1.7226724852685442,-0.7627839384465811
Girona,2023-2024,3.2681711083325014,-0.25796842096932215,-0.8227308334439014
Atletico Madrid,2023-2024,2.780592420111051,0.07707816939635573,1.7908350461323483
